Time,Average Bitrate,Average RTT,Average Retransmissions, Total Retransmissions
1.00082,373322716.12092,33063,0,0
2.00102,321407805.82660,55879,247,247
3.00013,304355490.53130,67348,0,247
4.00013,335545000.00138,72204,0,247
5.00014,314569012.54560,72710,0,247
6.00016,304083378.79408,53774,107,354
7.00013,325066038.92207,62638,0,354
8.00017,314561775.38639,62911,0,354
9.00019,304081276.35925,61987,0,354
10.00012,335566801.50616,58494,0,354
11.00017,314556113.38519,56595,0,354
12.00014,325067995.89890,66208,0,354
13.00017,304079137.70536,74074,0,354
14.00012,314587594.44575,62972,0,354
15.00014,325054026.31323,63984,0,354
16.00010,325072219.94901,62402,0,354
17.00014,314557088.28478,60832,0,354
18.00190,314022626.41454,84046,0,354
19.00012,315133108.73260,53393,77,431
20.00014,304079753.92458,50501,0,431
21.00014,325059528.75289,65243,0,431
22.00013,314574693.76140,73709,0,431
23.00017,304077325.31037,55588,75,506
24.00016,335546660.01632,60560,0,506
25.00012,304099510.51139,60528,0,506
26.00022,325025393.38443,50871,0,506
27.00012,325091384.56431,62311,0,506
28.00013,314569350.03784,51000,0,506
29.00014,314570925.01118,35206,0,506
30.00015,304081566.34853,68705,0,506
31.00013,325065070.13038,57312,0,506
32.00017,325046857.92129,43588,0,506
33.00019,293594805.14279,105308,0,506
34.00018,325061815.03259,56541,0,506
35.00014,314585062.97803,67681,0,506
36.00015,325057591.25289,77164,9,515
37.00013,314576887.55311,73424,0,515
38.00014,325054995.03910,70135,95,610
39.00014,304088254.37985,70099,0,610
40.00012,325066678.32775,57512,188,798
41.00019,314547939.46487,52593,0,798
42.00017,335553380.24463,60811,0,798
43.00013,304097987.89414,84107,0,798
44.00018,325043951.90652,76980,0,798
45.00020,314563987.74687,43218,0,798
46.00013,325082625.53155,61457,0,798
47.00020,304065146.57638,76564,23,821
48.00018,325064411.35533,71024,0,821
49.00013,314588532.03673,68764,0,821
50.00018,314557688.22599,65685,0,821
51.00016,325065380.14309,60651,0,821
52.00014,325066678.32775,70158,96,917
53.00018,314558025.69393,65727,0,917
54.00015,314584125.40773,69338,0,917
55.00017,325049454.00510,68199,0,917
56.00017,314573437.50129,61030,0,917
57.00014,314581931.51506,64448,0,917
58.00015,325057242.50534,79523,0,917
59.00013,314577206.31172,72037,0,917
60.00019,304068481.13274,60336,5,922
