Time,Average Bitrate,Average RTT,Average Retransmissions, Total Retransmissions
1.00020,40628627.26244,56005,0,0
2.00026,25402137.35121,141875,0,0
3.00025,37857080.62738,169857,0,0
4.00017,32877725.96123,204396,0,0
5.00019,35365492.46742,221905,0,0
6.00015,41344868.25287,274391,0,0
7.00031,27391696.27386,308624,0,0
8.00023,46826181.49481,363908,0,0
9.00050,26890812.88248,408210,0,0
10.00026,47855740.84320,447807,0,0
11.00031,31430238.40549,567694,0,0
12.00093,10479284.00204,643136,0,0
13.00074,31463162.97500,783533,0,0
14.00084,20969485.19745,945228,174,174
15.00052,10489095.43564,789086,230,404
16.00026,52442434.79498,783152,0,404
17.00088,10479305.22585,951907,0,404
18.00044,31470937.80223,814488,0,404
19.00062,20967935.61274,773683,83,487
20.00020,41960579.83178,562248,65,552
21.00035,31452563.20736,549508,0,552
22.00037,31456586.26530,650249,0,552
23.00020,31462692.18100,700161,0,552
24.00011,20973323.90515,744375,0,552
25.00051,20963198.30344,663522,0,552
26.00048,31458193.15151,738572,0,552
27.00038,31460330.92087,796528,0,552
28.00013,31465145.71629,750264,0,552
29.00028,31452656.92952,684596,0,552
30.00020,31459860.21162,710771,0,552
31.00038,20967765.67222,697497,0,552
32.00035,31458097.52125,829039,0,552
33.00014,31463918.90081,773117,0,552
34.00099,10476812.64118,790499,80,632
35.00029,41972756.03848,696289,19,651
36.00028,31457437.50079,620150,0,651
37.00015,31461433.67339,687105,0,651
38.00079,20958043.66548,712704,0,651
39.00084,31455708.82848,775825,0,651
40.00068,31462283.29565,826580,0,651
41.00069,20971372.50104,870391,66,717
42.00035,41957137.23655,541716,8,725
43.00044,31454449.00480,622804,0,725
44.00027,31462660.29506,676309,0,725
45.00017,31460584.09701,701457,0,725
46.00044,20965901.50566,674070,0,725
47.00023,31463855.12403,710053,0,725
48.00024,31456743.75914,705843,0,725
49.00046,20967053.45150,640632,0,725
50.00043,31458129.39793,652680,0,725
51.00032,31460739.75547,673305,0,725
52.00032,31457373.75028,700096,0,725
53.00196,31405712.17379,790052,0,725
54.00020,31512804.70803,745578,0,725
55.00022,20971037.51110,934926,0,725
56.00020,20972002.51110,910925,0,725
57.00017,20971981.26015,792316,136,861
58.00023,41940900.10918,563632,0,861
59.00031,31454763.95126,596384,0,861
60.00027,41944425.04574,585346,0,861
