Time,Average Bitrate,Average RTT,Average Retransmissions, Total Retransmissions
1.00011,181420597.91935,29805,0,0
2.00015,207907020.81418,59714,0,0
3.00011,230696634.17606,84412,0,0
4.00014,188738010.17033,114473,173,173
5.00013,209716250.00526,141511,0,173
6.00026,199204529.36509,149536,0,173
7.00025,230688562.51472,68827,151,324
8.00009,230722709.36381,87159,0,324
9.00011,178254350.07150,81511,0,324
10.00018,199215903.41980,67907,0,324
11.00011,241189127.39904,121634,0,324
12.00014,209709950.13142,86299,0,324
13.00013,220201839.37851,101921,0,324
14.00024,209692127.53867,73827,0,324
15.00012,220228932.92805,83510,0,324
16.00024,199204933.01495,117577,0,324
17.00013,230712091.54012,107322,0,324
18.00015,209710800.09231,55866,0,324
19.00020,209704075.59013,106762,0,324
20.00011,241194188.20380,84300,0,324
21.00011,209715825.00186,140935,0,324
22.00013,230682347.58288,85363,325,649
23.00018,178248294.26981,55934,0,649
24.00014,251669310.48697,76606,0,649
25.00018,209707450.28639,167252,0,649
26.00013,241183333.61343,143349,0,649
27.00016,199223075.20334,164283,0,649
28.00020,220192586.56842,47055,548,1197
29.00013,220215936.64355,77867,0,1197
30.00013,220201183.12523,132464,0,1197
31.00013,209716462.50760,75704,0,1197
32.00023,209693802.18350,81025,0,1197
33.00018,209725062.96384,43580,0,1197
34.00012,262159469.66284,67683,0,1197
35.00017,199220272.92182,101892,0,1197
36.00019,178253287.62038,105129,0,1197
37.00016,220207785.21154,86609,0,1197
38.00013,230695492.83361,97298,0,1197
39.00017,199221270.33502,52884,0,1197
40.00012,241182844.82043,51635,407,1604
41.00010,209719187.57582,64419,0,1604
42.00018,220184896.17195,71343,0,1604
43.00017,220203821.28718,91569,0,1604
44.00018,220198308.78192,72574,0,1604
45.00011,220215936.64355,68549,0,1604
46.00018,209700950.96821,138324,0,1604
47.00013,209725262.98284,90793,0,1604
48.00023,199210323.08453,87938,0,1604
49.00014,199246969.04214,101755,0,1604
50.00023,188726131.63170,127130,0,1604
51.00019,167779040.28215,81689,0,1604
52.00014,199239201.72828,88055,94,1698
53.00015,188742555.00671,54429,0,1698
54.00011,188749721.44337,96179,0,1698
55.00019,220185316.11148,98440,0,1698
56.00051,157235304.10435,118620,0,1698
57.00029,167809748.41959,120881,43,1741
58.00013,209748755.36815,99565,0,1741
59.00025,188720282.90072,93767,0,1741
60.00020,209725475.50345,56908,0,1741
