Time,Average Bitrate,Average RTT,Average Retransmissions, Total Retransmissions
1.00019,309605678.89059,50014,0,0
2.00013,246068204.15634,103666,0,0
3.00019,234554745.19803,78250,84,84
4.00020,195665452.34414,113662,0,84
5.00014,215131325.75126,96866,0,84
6.00018,223576730.34704,93063,7,91
7.00025,223071725.56018,107946,0,91
8.00013,204657820.99798,108084,0,91
9.00019,183649718.91071,107732,0,91
10.00019,193149312.74038,123808,0,91
11.00013,152737100.29010,135064,0,91
12.00028,142219503.57931,161620,0,91
13.00020,154733228.88105,160766,0,91
14.00014,155201635.49352,110457,16,107
15.00014,209663959.10384,58162,0,107
16.00022,188729146.11924,125870,0,107
17.00014,199243987.93723,85742,12,119
18.00019,209705125.48399,80206,0,119
19.00020,209713100.02103,81849,0,119
20.00013,230702176.03549,96665,0,119
21.00016,230680505.16744,96623,0,119
22.00023,178244724.72683,114036,0,119
23.00015,199245377.52483,110202,0,119
24.00021,199219275.51861,115425,0,119
25.00025,188735940.31739,111279,0,119
26.00030,167763600.43672,91186,0,119
27.00019,209736802.22496,150316,0,119
28.00016,167777190.15081,106165,0,119
29.00019,157282781.33326,101338,23,142
30.00017,146802547.52479,214681,0,142
31.00019,167769300.04875,129345,0,142
32.00011,167785411.04652,98593,10,152
33.00024,146782284.79533,132436,0,152
34.00014,136327556.17867,72940,0,152
35.00013,115344975.64763,156599,0,152
36.00061,62884252.10729,236981,6,158
37.00114,0.00000,1222255,68,226
38.00078,0.00000,386056,814,1040
39.00036,41960579.83178,229823,607,1647
40.00038,31456683.76130,266938,0,1647
41.00019,52438604.95833,45827,1040,2687
42.00023,115338630.19396,78501,99,2786
43.00019,125834527.73240,97384,0,2786
44.00021,146797700.05888,76008,0,2786
45.00016,136321420.93885,56720,0,2786
46.00020,136310378.89863,106345,0,2786
47.00019,125829877.50456,83593,0,2786
48.00012,157298044.61204,56945,0,2786
49.00118,136170262.33910,75090,0,2786
50.00015,136455701.57714,93007,0,2786
51.00019,146794480.25847,96631,0,2786
52.00015,136319925.81177,85292,0,2786
53.00024,125818545.88868,93690,0,2786
54.00019,136321559.07724,118190,0,2786
55.00016,104860218.81540,137629,0,2786
56.00013,136319243.26466,191892,0,2786
57.00016,136310102.66743,204285,0,2786
58.00050,115304158.32798,231094,0,2786
59.00014,125875066.77144,252532,0,2786
60.00169,115164626.14240,202334,204,2990
